Text,Category
"Na, Mwishowe, baada ya yote hayo, tunafikia tamati ambayo ingekuwa nzuri ikiwa ingeshughulikiwa na watu wenye uwezo na sio Jerry Falwell.",neg
Ni aina tu ya pap ambayo inapetiwa alasiri ili kuwaadhibu wasio na kazi kwa kukosa kazi.,neg
Karibu kama dakika kumi kwenye filamu hii nilianza kuwa na mawazo ya pili.,neg
Karibu nusu ya njia ya filamu hii nilianza kuichukia,neg
"Kufikia wakati filamu ilipoisha, sikuichukia tu, niliidharau pia",neg
Ukadiriaji: 0/10 (Daraja: Z) Kumbuka: Maonyesho Ni Mbaya Kwamba Hata Mama Wa Mwigizaji Akatoa Binti Yake Kati Ya Show.,neg
Kuangalia mashine ya kuosha ikizunguka haitakuumiza macho yako kama vile onyesho hili,neg
Neno la Mwisho: Show hii ni mateso kwa kweli !!,neg
Kila kitu juu yake ni mbaya tu,neg
Hii labda ni onyesho la kukasirisha sana ambalo nimewahi kuona katika maisha yangu yote.,neg
Kile filamu hii inakosa ni maandishi ya kushawishi.,neg
Karne ya 20 ya Fox's ROAD HOUSE 1948) sio tu hadithi ya kipumbavu lakini ni fumbo lisilofahamika la sinema,neg
"Imejaa wahusika wa kadi isiyo na kifahari, iliyoandikwa wazi na Edward Chodorov, ambaye pia alitengeneza, na kwa kushangaza anaelekezwa na Jean Negulesco ambaye mtu angetegemea mpango mkubwa zaidi.",neg
Kuanzia hapa mhusika wa Widmark anageuka mchesi bila kukusudia,neg
kuna shida nyingi sijui nianzie wapi.,neg
lakini sinema hiyo inafanya makosa  mengi sana.,neg
Chochote kilichochochea maandishi haya ni zaidi yangu!,neg
Kupoteza kwake marumaru mapema sana katika kesi hiyo haifurahishi,neg
"Kwanza kabisa, kuna mitindo ya kichekesho ya kutosha na utani wa rangi ili kumkasirisha kila mtu.",neg
"tukiacha ubaguzi wa rangi, wacha tuangalie upungufu mkubwa kwenye filamu: wanaharibu mhusika wa Latifah",neg
singependa kuona hii sinema tena hata bure,neg
Mbaya sana ... mmmh... ni mbaya tu,neg
Hii inaweza kuwa ndiyo filamu mbaya tu ambayo amewahi kutengeneza.,neg
Sidhani kama kuna sifa zozote za ukombozi katika kumbukumbu hii,neg
"Nimesikitishwa sana kuwa filamu hii itapokea tuzo nyingi na sifa nyingi, haswa ikiwa kuna kazi zinazofaa zaidi za filamu huko nje.",neg
Sinema hii ni mfano thabiti wa njama mbaya na wazo mbaya sana kila mahali,neg
Ni aibu kuona watendaji wazuri kama Thomerson na James wanaishi kwa fujo kama hii.,neg
Nakala ni fujo kubwa linalopotoka.,neg
"Wacha tuanze na shida zote - kaimu, haswa kutoka kwa profesa mkuu, alikuwa mbaya sana.",neg
"Filamu zote mbili ni mbaya, lakini kwa sifa ya toleo la 1986, ilionekana.",neg
Nilidhani ilikuwa mbaya.,neg
"Mkurugenzi Paul Matthews, ambaye pia aliandika / kuelekeza sinema dhaifu ya monster 1995 ""Grim"", wazi hajui jinsi ya kuongeza kasi filamu zake.",neg
sinema inaudhi,neg
Filamu inaonekana ya bei rahisi na isiyo na maana,neg
Mojawapo ya mambo yanayokatisha tamaa zaidi ni ukosefu wa balaa kubwa,neg
Athari za kuona zilikuwa mbaya,neg
Mlipuko wa mizinga ya Gesi mwishoni ulikuwa mbaya tu,neg
"Mkutano huu haujawahi kufanya kazi vizuri zamani, na hakika haifanyi kazi hapa",neg
Haipendekezwi,neg
Haipendekezi,neg
"Ninaelewa kuwa inapaswa kuwa vichekesho cha bei nafuu cha popcorn, lakini hiyo haimaanishi kuwa inabidi itukane akili zetu, na kuandika maandishi mabaya sana kiasi kwamba inapakana na kukera.",neg
"Kipaji kikubwa cha Lewis Black kinatoweka hapa pia, kwa vile yeye ni mtangulizi wake wakati yeye hajazuiliwa, ambayo rating ya PG-13 hakika haitakubali.",neg
Bajeti ilikuwa dhahiri sana.,neg
"Walakini, hapa hakukuwa na kaimu bora, kitendo au kazi ya eneo kusawazisha mambo",neg
Filamu ilikuwa ndogo sana,neg
Haikufaulu kufikisha jumla ya mandhari ambayo yalikuwa sehemu kubwa ya asili,neg
Kwa jumla; ilikosa tu mawazo.,neg
sipendekezi,neg
Je! Inawezekana kwa sinema kuwa mbaya zaidi kuliko hii,neg
"Hata wakati wanawake watajidhihirisha, hakuna ishara ya uboreshaji; mambo yanayotarajiwa sana kutokea na wakati filamu imekwisha, unaweza kuwa umelala sana",neg
"Jihadharini: hii sio sinema ya ibada ya kidini, hii ni kipindi cha takataka",neg
Siwezi kuamini kuwa kuna njia ijayo kwa hii!,neg
Ambayo ni kwa nini ninaipa hakiki mbaya,neg
"Mistari yake inaonekana kuwa imeandikwa na mtu wa miaka kumi na tano, ingawa wanajaribu sana kusikika kama vile mtu wa miaka kumi na tano angeongea",neg
Hakuna udhuru kwa kitu hiki ambacho hakijafanywa vizuri,neg
Niliona sinema hii na nilidhani hii ni sinema ya kijinga.,neg
Ni nini kijinga zaidi ni kwamba ni nani aliyefikiria wazo kwamba kunapaswa kuwa na volkano huko Los Angeles?,neg
"Ili kuwa mkweli na wewe, hii ni ya upumbavu isiyo ya kushangaza na ni ujinga sana.",neg
"Kwa kumalizia, sitajisumbua na sinema hii kwa sababu volcano huko Los Angeles sio kitu lakini ni isiyo na maana",neg
Mstari wa hadithi ni mbaya tu!,neg
Ni chungu tu,neg
Na lafudhi ni mbaya sana,neg
Kuna unafiki wa kutosha katika filamu hii kunifanya nitapike,neg
Usipoteze muda wako kutazama filamu hii ya takataka ambayo haijafanywa utafiti,neg
Ukadiriaji wangu: 3 tu kati ya 10.,neg
"Bila kujali, filamu inashindwa kwa viwango vingi.",neg
"Ninajua kuwa Jim O'Connor alikuwa na nguvu sana na kwamba hakuna mtu anayeweza kuwa kama yeye, lakini George hakuwa na riba",neg
Epuka kwa gharama zote.,neg
siipendekezi,neg
"Sinema hii ni mbaya sana kwa akili, haingeweza hata kutengenezwa",neg
"Isipokuwa tu uko kwa ""kukusanya"" filamu zote za kazi za Austen, unaweza kuruka hii.",neg
si nzuri,neg
si ya kufurahisha,neg
Sio nzuri.,neg
"Hata kuruhusu viwango duni vya uzalishaji kwa wakati huo (1971) na muundo (aina fulani ya mfululizo wa mini), hii ni mbaya",neg
najuta,neg
Utajuta!,neg
"utendaji mbaya sana hucheza Angela Bennett, mtaalam wa kompyuta ambaye yuko nyumbani wakati wote.",neg
"Ni filamu isiyohusu kitu chochote, kisingizio tu cha kuonyesha matukio ya kejeli",neg
Yeye ni mbaya sana!,neg
"Lakini yeye bado ni mwigizaji mbaya, akirudia sura yake ya uso wa robotic katika kila moja ya picha zake",neg
"Matokeo, ni aibu.",neg
"mimi ni Shabiki mkubwa wa michezo ya RPG , lakini sinema hii, ni aibu kwa shabiki yeyote wa RPG anayejiheshimu",neg
Hadithi hizo zilikuwa zisizoaminika kama wahusika,neg
"Mistari, kupunguzwa, sauti, kila kitu kibaya",neg
Unaweza kupata sinema bora kwenye youtube,neg
"Mstari wa juu: Usipoteze wakati wako na pesa kwenye hii, ni mbaya kama inavyotokea",neg
"Sana ujinga katika kila nyanja kuwa inakuwa fujo nyepesi, isiyo ya kupendeza, hii ni moja ya sinema zinazosahaulika sana ambazo nimeona",neg
"Epuka, epuka, epuka!",neg
Itakuendesha kupiga wazimu!,neg
Hakuna kitu kipya hapo,neg
Sinema haina hatua yoyote ndani yake na ucheshi ni mdogo sana.,neg
Maonyesho haya hayafurahishi,neg
"Nimechoka sana na nguzo ambazo ni uvivu tu kuandika, na hapa wanakuja kwa nene na haraka.",neg
Kwanini filamu hii ilitengenezwa?,neg
Matokeo yake ni filamu ambayo haionekani kuwa sawa,neg
Hakuna hata mmoja wao anayefurahisha.,neg
The Foreigner haifai sekunde moja ya wakati wako,neg
Njama hiyo ni ya kijinga ambayo haifurahishi kwa njia yeyote ,neg
"Jinsi kipande hiki cha takataka kilivyowahi kutolewa ni imenishinda: uigizaji, hadithi, wahusika, athari zinazodaiwa kuwa maalum, nk ... zote ni mbaya",neg
Epuka kwa gharama zote! ,neg
Star Trek V Frontier ya mwisho ndio mbaya zaidi kwenye safu.,neg
Mahali pema tu kwa filamu hii iko kwenye taka/takataka,neg
Mbaya zaidi ya mfululizo,neg
Nilikatishwa tamaa na kujiuliza jinsi inaweza kuwa katika orodha fupi ya Oscar.,neg
usipoteze muda wako,neg
Ni kama sinema mbaya ya saa mbili,neg
Bado ninajaribu kupata jinsi ilikuwa mbaya.,neg
Hii ilikuwa moja ya filamu mbaya kabisa ambayo nimewahi kuona,neg
Kwa kweli hajui jinsi ya kutengeneza sinema ya vitendo madhubuti kutoka kwa mwandishi wa Jeshi la Anga ambaye alilazimika kuandika hati hiyo kwa pesa nyingi tu,neg
Mwisho wa Siku ni moja ya sinema mbaya zaidi za bajeti kubwa ambazo nimewahi kuona,neg
Sasa fikiria kwamba kila moja ya maamuzi hayo yalifanywa vibaya,neg
"Shida ni kwamba, uandishi na kuelekeza hufanya iwezekani kuanzisha vitu",neg
"haina maana, na inapoteza muda ",neg
"Kwa kifupi, usijiumbue na sinema hii",neg
Pia hadithi na kaimu zilikuwa dhaifu,neg
"Karibu saa 4 jioni niliinunua, saa 8 jioni nilianza kuitazama, karibu saa 8.15 jioni nikasambaza haraka filamu iliyobaki ili kuona ikiwa kuna kitu chochote kilichobaki cha kutazamwa kwa mwanadamu aliye na ubongo ... lakini hakukuwa. ",neg
Nakala ni ya kijinga,neg
Kila kitu Kapteni Howdy anasema  kijinga wazi tu,neg
Filamu hii inajaribu kuwa ya kusisimua na ya kushangaza / ya kutisha na inashindwa vibaya,neg
Hii labda ni moja ya sinema zisizo na ufanisi,neg
"Kwa kiwango chochote filamu hii haipendezi,na sio ya kuchekesha",neg
Epuka kwa gharama yoyote na yote,neg
Epuka filamu hii kwa gharama zote,neg
Sasa hii ni sinema ambayo sipendi kabisa,neg
sio ya kufurahisha,neg
"Vinginevyo, usipoteze wakati wako kwenye hii sinema",neg
Hii inashindwa kuunda tuhuma yoyote ya kweli.,neg
"Kwa habari ya muuaji, usitegemee kitu chochote cha asili au hata cha kutisha kwa mbali",neg
Samahani lakini kwa kweli siwezi kuipendekeza kwa mtu yeyote,neg
Mstari wa njama ya pili haueleweki,neg
niliichukia,neg
haipendezi,neg
Hii ni moja ya sinema mbaya zaidi ya Sandra Bullock tangu Speed ​​2 Lakini sio mbaya kabisa,neg
"Sielewi jinsi takataka hii ilifika kwenye rafu za duka la sinema, hata sio sinema halisi!",neg
Nina shaka sana kuwa mtu yeyote angependa takataka hii,neg
Hii sio ya kutengeneza sinema,neg
"Kaimu ni kama kutazama vijito vya mbao vinazunguka na kusoma kutoka kwa kitabu, ndivyo ilivyo mbaya",neg
"Nakubaliana na Jessica, sinema hii si nzuri sana",neg
Nimeona michezo ya sabuni yenye akili zaidi kuliko sinema hii.,neg
"Wahusika wabaya, hadithi mbaya na kaimu mbaya.",neg
Kweli mbaya,neg
si rahisi kutizama,neg
Sinema ilionekana polepole kidogo mwanzoni,neg
"Ni mbaya sana kwamba kila mtu mwingine aliyehusika hakushiriki kiwango cha kujitolea cha Crowe kwa ubora, kwa maana ikiwa wangefanya, tungekuwa na filamu bora zaidi mikononi mwetu kuliko fujo hili ndogo",neg
ni dharau kwa akili ya mtu na upotezaji mkubwa wa pesa,neg
Ila mbaya!,neg
"Kwa neno moja, ni aibu",neg
"Kwa bahati mbaya, fadhila yoyote katika kazi ya utengenezaji wa filamu hii ilipotea kwenye hati ya kusikitisha.",neg
mwizi,neg
halifu,neg
negative,neg
,neg
,neg
matatizo,neg
athari,neg
hatari,neg
mbaya,neg
uharibifu,neg
kasoro,neg
haramu,neg
vurugu,neg
uhalifu,neg
dhaifu,neg
bei ghali,neg
huzuni,neg
hatia,neg
ghasia,neg
kuharibika,neg
changamoto,neg
hatarini,neg
utani,neg
ugomvi,neg
hafifu,neg
kizuizi,neg
vizuizi,neg
uhamishoni,neg
taka,neg
lisilo,neg
dhoruba,neg
mshtuko,neg
haiwezekani,neg
udanganyifu,neg
chuki,neg
usumbufu,neg
ukatili,neg
machafu,neg
ukiukaji,neg
kuvuruga,neg
kutofautiana,neg
kuiba,neg
vitisho,neg
uvumi,neg
mwongo,neg
waongo,neg
shetani,neg
dharau,neg
kukandamiza,neg
uchovu,neg
mtumwa,neg
mashitaka,neg
kutupwa,neg
fukara,neg
kuvunjwa,neg
kuchelewa,neg
kichaa,neg
utovu,neg
bovu,neg
kukosekana,neg
wakali,neg
usaha,neg
mashaka,neg
ukandamizaji,neg
kulazimishwa,neg
isiyojulikana,neg
inasisitiza,neg
ushirikina,neg
unyonge,neg
uangalizi,neg
mlevi,neg
mbovu,neg
kuhatarisha,neg
kufukuza,neg
kiwewe,neg
kinyama,neg
kidonda,neg
kidikteta,neg
kana,neg
hupoteza,neg
wazimu,neg
uadui,neg
kuwasha,neg
kuzuka,neg
kuwasha,neg
kujifanya,neg
kilio,neg
hitilafu,neg
baya,neg
yanatofautiana,neg
wabaya,neg
takataka,neg
msisitizo,neg
matata,neg
majanga,neg
mafungo,neg
kujinyima,neg
kuchanganyikiwa,neg
chafu,neg
kutishia,neg
kutengana,neg
kuingiliwa,neg
hazipatikani,neg
utekaji,neg
kuvuja,neg
kuharakisha,neg
zisizokuwa,neg
unyanyasaji,neg
tahadhari,neg
kutofautishwa,neg
kuteseka,neg
kuchoka,neg
hongo,neg
mgomo,neg
kuchelewesha,neg
kizunguzungu,neg
ukungu,neg
ukaidi,neg
msaliti,neg
masikini,neg
majeruhi,neg
uingizaji,neg
ubeberu,neg
ubaya,neg
kuumia,neg
kupasuliwa,neg
kuangamia,neg
noma,neg
uhasama,neg
uchokozi,neg
ubatili,neg
shutuma,neg
ndimu,neg
muafaka,neg
migumu,neg
machungu,neg
kuzorota,neg
kupuuza,neg
kudhoofisha,neg
kinyago,neg
kibaguzi,neg
yasiyofaa,neg
warning,neg
uvivu,neg
ujinga,neg
mashina,neg
mapungufu,neg
kuwatesa,neg
kusita,neg
kulipuka,neg
kukabiliwa,neg
kugawanyika,neg
kitoto,neg
kikatili,neg
dosari,neg
waovu,neg
wakipinga,neg
uvumba,neg
ukiukwaji,neg
uhaini,neg
pumziko,neg
propaganda,neg
mwiko,neg
mwiba,neg
mwanya,neg
mhalifu,neg
masumbuko,neg
makovu,neg
kuzima,neg
kutoridhika,neg
kuteswa,neg
kupora,neg
kukataliwa,neg
kukanusha,neg
kubomoa,neg
errors,neg
balaa,neg
wanahusika,neg
uvunjaji,neg
umasikini,neg
tisho,neg
shadidi,neg
mzushi,neg
mnene,neg
makapi,neg
limo,neg
kutoelewana,neg
kulalamika,neg
kizamani,neg
imeshindwa,neg
wasaliti,neg
wanakabiliwa,neg
wameshindwa,neg
uzembe,neg
unknown,neg
unafiki,neg
uhuni,neg
tuli,neg
shoka,neg
pupa,neg
nyufa,neg
nyonga,neg
ngumi,neg
negative,neg
msukosuko,neg
msiba,neg
machanga,neg
lisilokuwa,neg
limau,neg
kuzungukwa,neg
kuwaadhibu,neg
kutokubaliana,neg
kutelekezwa,neg
kupotoka,neg
kukwama,neg
kukosolewa,neg
kukiuka,neg
kukatisha,neg
kovu,neg
