Text,Category
Na viunganisho vyake haba kati ya filamu hizo tatu ni za kushangaza,pos
"Sikuweza kufikiria njia bora ya kumaliza filamu, lakini tabasamu usoni mwangu, njia nzuri ya kuunda filamu ya ajabu na trilogy!",pos
"Ninapendekeza hii kwa kila mtu anayependa filamu, sinema, chochote ... Kazi ya Sanaa!",pos
10 kati ya 10 kwa sinema na trilogy,pos
Nadhani nilikuwa mmoja wa watu ambao walipata hii moja ya lulu ya roth,pos
"utendaji wake, kama alivyo tuzwa, ilikuwa ya kushangaza.",pos
Hii ni sinema ya kufurahisha na ya kuchekesha.,pos
Katika eneo la ajabu sana liko hadithi ya tofauti.,pos
"hadithi ambayo iliambiwa waziwazi na Francis ford Coppola miaka 25 mapema, kweli hufunguka polepole na kuwaacha wahusika kukuza",pos
Katika eneo la ajabu kabisa liko hadithi ya tofauti,pos
Burudani ya kupendeza kabisa kwa pembe zote.,pos
"Kwa hivyo kwa starehe zetu tunapata kuwaona wakizunguka pande zote, wakicheza michezo, na kuwa hatari.",pos
"Inaangazia safu isiyo ya kukumbukwa, karanga nzuri lakini inayopendeza",pos
Hata ina wakati wake tamu,pos
Wahusika wote kwenye filamu hii wamechezwa vizuri sana.,pos
Na kweli niliwapata wanapendeza,pos
ni mzuri.,pos
Ni onyesho zuri la kutazama.,pos
Sitasahau kamwe sasa,pos
Nimefurahiya sana baada ya kuona sinema kama hii.,pos
Mwisho ni sawa kabisa ... utatoa machozi,pos
"kwa kweli, hii ni sinema nzuri sana",pos
ni ya kupendeza,pos
mimi nilipendezwa nayo,pos
Watoto ni wazuri sana pia.,pos
Lazima niseme nimeiga sehemu nyingi na ninajikuta nikizitazama tena na tena,pos
Sasa unajua kwanini niliipa 10+!,pos
"Sijui ni nini hasa juu ya sinema hii, lakini tulitegemea sinema hii inayopendeza na imekuwa sehemu maalum ya kumbukumbu za familia yetu",pos
Ninapendekeza kabisa sinema hii kwa mtu yeyote anayependa sinema nzuri za familia kwa sababu ndivyo hii haswa,pos
Hii ni moja ya sinema bora huko nje ambazo zinaonyesha dhamana kubwa ya kindugu ya kila mmoja kwa kila mmoja.,pos
Damian ana talanta sana na anashirikiana katika njia nyingi za uandishi na kuelezea Sifa tofauti kwenye skrini,pos
"Nimefurahiya kujua fikra za siku kama hizi ziko huko nje, ikiachilia matamanio ya Sanaa kumfanya aende na kutuchukua kama wasikilizaji pamoja naye.",pos
"Elias Koteas, Jack Palance anacheza majukumu mazuri Angelina yuko moto na anakuwa uchi.Billy Drago anaonekana katika hii na ni mzuri kama kawaida + aalio na Sven ole Thorsen husaidia kuifanya sinema hii ya kufurahisha sana na kaimu mzuri na bajeti nzuri",pos
Hii ilikuwa sinema ya kushangaza kiasi kwamba niliinunua kutoka kwa Ebay.,pos
"Niliipenda sana hadithi na dubu alikuwa mzuri sana.Lakini ikiwa kuna mtu ana swali kuhusu Fort Steele, uliza tu :)",pos
"Seti (iliyoundwa mahsusi kufanya kazi na kamera) ni ya kushangaza .... imeangaziwa, nzuri na nzuri.",pos
Wanaweza kutumiwa kama mifano kwa mbuni yeyote aliyeweka.,pos
"Baada ya kutazama filamu hii, nilitaka kujifunza zaidi juu ya kazi za msanii huyu",pos
"Ninapendekeza sinema hii kwa mtu yeyote anayevutiwa na sanaa, mashairi, ukumbi wa michezo, siasa, au historia ya Japan",pos
"Hapa, katika The Wind na Simba, tunaona toleo zuri la enzi ya Imperi ya Amerika",pos
"(Mama yangu na kaka walilazimika kufanya hivi) Nilipoona Robert Ryan akielezea aina hii ya mwanaume, ilikuwa kuiga mzuri sana wa aina hii ya mtu, na nilivutiwa",pos
"Kinachofanya hadithi hii kuwa tofauti ni maadili ya kweli ya utengenezaji - upigaji picha usio na kosa, muundo na uhariri - utaftaji wa kutisha - Brian Keith aliyethamini sana kucheza historia ya uonevu Teddy - na wazi.",pos
"Nadhani ilikuwa filamu bora ya Robert Ryans, kwa sababu alionyesha mtu kama baba yangu, na yeye alikuwa mtaalam katika maisha halisi, (baba yangu) ingawa hakuwahi kumuua mtu yeyote lakini aliathiriwa zaidi wakati wa vita vya pili vya ulimwengu ambavyo vilimfanya kuwa mbaya zaidi.",pos
Sinema nzuri inamfanya yeye na Monica Bellucci kuonekana warembo sana.,pos
Maoni mazuri ya mapenzi ya leo na bila shaka ni filamu inayostahili kuona.,pos
"Kwa watu ambao ndio kwanza msimu wa kutengeneza filamu, nadhani walifanya kazi nzuri zaidi!",pos
"Ilikuwa maarufu sana wakati nilikuwa kwenye sinema, nyumba nzuri na athari nzuri na kucheka sana.",pos
Ni filamu ya kujisikia vizuri na ndivyo nilihisi wakati nilipotoka kwenye sinema!,pos
Mimi badala yake nilifurahia,pos
Vivian Schilling alifanya kazi nzuri na maandishi,pos
Ulimwengu bora kuliko 95% ya takataka kwenye sinema leo,pos
Jukumu lake lilichezwa vizuri,pos
Kamera inampenda sana kwenye sinema hii.,pos
"Sinema hii ni bora! Malaika ni mzuri na Scamp ni wa kupendeza! Ilipunguza wakati anaogopa, na sehemu za kufurahisha ni wakati: Scamp amekamatwa chini ya pazia na wakati Malaika na Scamp wanaimba ""Sijawahi Kuhisi Huo Kabla."" Ninapendekeza kabisa sinema hii, ikitoka toleo maalum mnamo Juni 20. Jalada limejaa kwenye kontena la takataka na Malaika chini ya kifuniko.",pos
"Sauti ya sauti haikuwa mbaya, vile vile",pos
"Bado, ilikuwa SETS ambayo ilipata ""10"" kubwa kwa kiwango cha ""oy-vey"" yangu",pos
Wote wanafanya kazi nzuri na wanapendeza,pos
Dakika 15 za mwisho za sinema pia sio mbaya pia.,pos
"Ninapenda Armand Assante & muhtasari wa kampuni yangu ya cable ulionekana wa kufurahisha, kwa hivyo niliiangalia, mara mbili tayari, na labda itakuwa tena",pos
Ninaamini mwandishi wa skrini alifanya kazi nzuri ya kumfunga mwisho.,pos
Alama yangu ya 8/10 ni zaidi kwa njama.,pos
"Sitasema tena - sipendi nyara, kwa hivyo sitaki kuwa mmoja, lakini ninaamini filamu hii inafaa wakati wako",pos
Nilivutiwa sana na tabia aliyocheza.,pos
"Nilipenda sinema hii ilikuwa taswira nzuri ya familia ambayo ilikuwa imepitia dhiki na faraja, lakini mwisho wao walijua kuwa upendo maalum walikuwa nao kwa kila mmoja.",pos
"Nimeona sinema nyingi zikimwigia nyota Jaclyn Smith, lakini mungu wangu hii ilikuwa moja bora kwake, ingawa ilitoka miaka 12 iliyopita",pos
"Sinema hii ilikuwa na wahusika wa nyota zote, na kile nilikipenda zaidi ni kwamba ilifungua macho yangu kuona waigizaji wengine ambao sijawahi kuona hapo awali.",pos
"Sinema hii ilikuwa ya muda mrefu, lakini nilifurahia kila dakika yake.",pos
Kwa jumla nipitisha sinema hii kwa kiwango cha 10 kati ya 1-10,pos
"Sinema hii inaunda ulimwengu wake mwenyewe, na inavutia kwa kila njia.",pos
Lakini sinema hii ilinijia kweli,pos
itizame,pos
Sinema hii ni maoni mazuri na ya kuchekesha juu ya maisha mnamo 2006,pos
"Nilipata sinema hii ikiwa nzuri, ya kufurahisha, na yenye kuinua moyo.",pos
"Hapo awali maeneo ya ndani kwenye filamu, ambayo yalipigwa picha hapa Buffalo, yalinishangaza",pos
Watazamaji wote walishangilia mwisho wa filamu,pos
"Niliacha ukumbi wa michezo na sauti katika hatua yangu, furaha moyoni mwangu na tumaini la wanadamu.",pos
Duris ana muonekano mzuri na anatoa utendaji mzuri,pos
Wahusika wengine wote pia hucheza vizuri.,pos
waigizaji ni wazuri,pos
Sinema ni muhimu kujumuisha maoni mazuri ya Barcelona na minara yake maarufu ya Gaudi.,pos
ongeza betty white na jean smart na una waigizaji wakubwa - kila mtu alicheza sehemu zao vizuri.,pos
STEAMBOAT WILLIE ni filamu ya kushangaza katika historia yetu ya sinema.,pos
Muonekano huu wa pili wa Mickey Mouse (kufuatia kimya cha Plane CRAZY mapema mwaka huo) labda ni filamu yake maarufu - zaidi kwa sababu ilikuwa ya kuvunja sana,pos
"Walakini, baada ya kuona fupi tena baada ya miaka kama 25, nilishangazwa na jinsi filamu hiyo haina wakati",pos
filamu hii bado ni kati ya filamu bora za Mickey hata baada ya miaka 80 ya ajabu,pos
"Inafurahisha kuona Mickey akicheza ""Uturuki katika Straw"" kwa njia ya kufikiria sana (ikiwa mara kwa mara ni kali)",pos
Mwili na Nafsi (1947) ni Kito,pos
"John Garfield, Ann revere, Lilli Plmer, William Conrad, Canada Lee ... na kutayarishwa na mmoja wa waandishi wa sinema kubwa kuwahi neema kwenye skrini..James Wong Howe",pos
"Sawa, napenda kujiona kuwa mkosoaji mzuri, kwa hivyo nitatoa mkopo kwa sababu ya deni - athari za kiumbe zilikuwa nzuri sana",pos
Nafasi ya pekee ya filamu hiyo ilikuwa ni Yona Hill (ambaye ataonekana kutofahamika kwa mashabiki wa Superbad ya hivi karibuni kutokana na uzito uliopotea mwakani).,pos
"Kwa kuwa mtoto wa 90, nilifurahia onyesho hili na naweza kusema kwa fahari kwamba nilifurahiya wakati mwingi na hata zaidi ya katuni za classical WB",pos
"Lakini ""Tiny Toons"" zilishika vibe ya 90 na kutoa moja ya katuni maarufu zaidi, za kuchekesha, ",pos
Kumbukumbu ni ngumu lakini ninaweza kusema tu kuwa nilifurahia kila sehemu na bidhaa zinazohusiana na onyesho,pos
Kila mhusika alikuwa wa kuchekesha sana na alistahili kuwa mhusika wa kuongoza,pos
Ninaamini kuwa Pitch Black ilifanywa vyema,pos
"Wahusika wanavutia na unataka kujua zaidi juu yao sinema inavyoendelea, na nadhani watu watashangazwa na ni nani anayeweza na asiyeweza",pos
Nenda uiangalie!,pos
Inafurahisha sana,pos
Wahusika wanapendeza na unawajali sana,pos
Usikose,pos
isikupite,pos
"Aina ya papo hapo, yenye sauti nzuri na wimbo wa kuvutia wakati wa sifa za kumaliza",pos
"Hii ni sehemu nzuri ya utengenezaji wa filamu, na mada nyingi zinapanda na mara kwa mara zinawaka katika warti huu na masomo yote juu ya ushairi wa miaka ya ushairi, miaka ya vita ya kujipenyeza ambayo hupiga milipuko ya angani ya London na utulivu wa nje wa makazi ya pwani ya Welsh. - Mida ya mipaka kati ya urafiki, tamaa na upendo, kujitolea kwa sanaa na uzoefu dhidi ya wasiwasi wa vitendo, wivu, mashindano, woga na ubinafsi dhidi ya ushujaa na kujitolea na zaidi.",pos
"Niliona filamu hii wakati wa Krismasi, na ilikuwa filamu nzuri sana!",pos
Nilidhani Errol Flynn alikuwa kipaji kama Custer na tangu amekuwa mwigizaji wangu ninayempenda!,pos
"Siku zote nilikuwa najua kuwa Errol Flynn alikuwa muigizaji mzuri kama yeye alikuwa mwigizaji wa baba yangu anayependa sana, na nilikua nikitazama sinema zake nikiwa mtoto",pos
Kuigiza kwake pamoja na Olivia De Havilland kulikuwa na kipaji na mwisho wake ulikuwa wa kupendeza!,pos
Nitapatia filamu hii 10 kati ya 10,pos
Lakini haikuwa mpaka nilipotazama filamu hii ambayo niligundua jinsi alivyo mkubwa,pos
"Jimmy Stewart ni shujaa mkubwa wa Hitchcock, hadithi inaruka hadi kilele chake kwenye kazi ya ubalozi, lakini inakosa hatari ya kushughulikia nyeusi na nyeupe, ya bajeti ya chini ya Hitchcock.",pos
Bado filamu nyingine nzuri kutoka kwa kampuni kubwa ya bwana.,pos
Lazima niseme kwamba filamu hii ilitengenezwa vizuri na hufunika makadirio kama filamu ya kawaida ya sci fi!,pos
Imetengenezwa vizuri na mmoja wa wazalishaji bora wa Sci-fi Scot Vandiver,pos
"Lakini ni ya kufurahisha, hata hivyo",pos
Ni aina ya kambi ya filamu ambayo ni furaha kutazama,pos
walinifurahisha sana,pos
nilifurahi kumuona inspekta mwala akitubuiza.,pos
waigizaji daima ni wa kufurahisha kama kawaida.,pos
Sinema hii inafanya kazi nzuri ya kufunua ugumu wa kazi hiyo na changamoto kubwa inayowakabili Afrika Kusini.,pos
Ninaamini kila mmoja anapaswa kuona sinema hii kwa sababu nadhani ni watu wachache nje ya Afrika Kusini wanaelewa zamani zake na kile kinachojaribiwa katika mchakato wa Ukweli na Maridhiano,pos
Utendaji bora,pos
"Ni kweli sana kwa Shakespear, na 'ni ya lazima' kwa Mashabiki wote wa Shakespear",pos
"Ikiwa unapenda kifo na kuoza, na nyimbo za Shakespears ... hii ndio hiyo",pos
"Huu ni muundo mzuri na wa kupendeza wa kitabu cha Dk Seuss, kilichochochewa sana na UPA bora na unastahili kabisa tuzo yake ya Chuo.",pos
"Kutajwa maalum inapaswa kufanywa kwa alama nzuri zaidi ya muziki na athari za sauti, ambayo ni nyenzo muhimu katika kusaidia kufanya hii katuni ya kukumbukwa na ya kufurahisha",pos
"Walakini Paul Schrader kwa kweli ametoa filamu ""kuhusu"" Mishima ambayo ni nzuri sana na ngumu",pos
sio mbaya,pos
si mbaya,pos
Hii ni sinema ya kushangaza,pos
Juliusan Fellowes ameshinda tena.,pos
Maonyesho ya angani yalifanywa vizuri,pos
Hii ni moja ya filamu za Peter Watkins zinazopatikana zaidi.,pos
Ninakushauri utafute,pos
Hautajuta!,pos
Uhamisho ni mzuri sana,pos
Seti ya kuvutia inayotumiwa katika filamu nyingi ni vito vya kupendeza macho.,pos
"Sinema imejaa densi ya ajabu muziki fulani mzuri, na mazingira mazuri ajabu",pos
Mzuri sana,pos
"inashughulikia maswala magumu kwa hadhi na neema, na, kwa kweli, ina furaha, ajabu, kuhisi kuishia vizuri",pos
Ni moja wapo ya sinema lazima nitizame kila inapotokea kwenye TV ... usijali ukweli kwamba tayari nimeikariri,pos
Niliona filamu hii na ninaipendekeza,pos
"Ina njama nzuri sana, inashikilia umakini wako kamili, kaimu ni bora, Tom Wilkinson alikuwa mzuri na Emily Watson pia alikuwa mzuri sana.",pos
"Filamu nzuri sana kweli, juu ya upendo mkubwa na usio na masharti",pos
"mhusika wa  Emily Watson ana nguvu sana, na anapaswa kutoa mtazamo wa haraka tu na unaelewa kila kitu.",pos
"Kwa kweli, niliipenda zaidi kuliko Mahojiano na Vampire na nilipenda hii Lestat (Stuart Townsend) bora kuliko jaribio la Cruise.",pos
"Licha ya mikusanyiko ya wahakiki, nilipenda filamu hii",pos
"Aailiyah alikuwa mzuri kama Akasha, katika sehemu za kulazimisha",pos
"Mimi ni shabiki mkubwa wa safu hii zaidi kwa sababu ya mtindo wa Anne Rice, unyeti na matibabu",pos
Nadhani nilipenda maelezo ya dysfunction yake - alikuwa wa kuaminika,pos
Vipindi vya mpira wa miguu mwishoni vilikuwa vinashangaza,pos
Lakini nilifikiria uigizaji wake ulikuwa na ustadi,pos
Filamu nzuri sana yenye hisia nzuri na moyo.,pos
Filamu hii ya mapema kutoka kwa mjumuia wa baadaye Lucio Fulci ni nyongeza nzuri kwa aina ndogo ya giallo,pos
Tisa kati ya kumi kwa filamu ya kupendeza,pos
Meredith M alikuwa bora kuliko sawa,pos
Hii ni moja ya washambuliaji bora wa Italia wa miaka ya mapema ya 70.,pos
"Kitaalam, filamu hiyo imetengenezwa vizuri na kazi ya kuvutia ya kamera, kazi ya uigizo na muziki mzuri kutoka kwa Riz Ortolani - haswa nzuri ni sauti ya mara kwa mara isiyoambatana ya kike ambayo inaonekana kama inatoka kwenye kilima cha mbali.",pos
Bado ni vitu vya mwitu ingawa na inashauriwa sana kwa mashabiki wa sinema ya giallo.,pos
Sinema hiyo ilikuwa ya kupendeza sana tangu mwanzo hadi mwisho.,pos
Nilipenda jinsi mhusika wa Dustin Hoffman ilikuwa tayari kufanya karibu kila kitu ili kukaa na mtoto wake.,pos
Sinema hii pia inafafanua.,pos
ilifafanuliwa vyema,pos
ilifafanuliwa vizuri,pos
"Ni athari mpya, hila, na bora.",pos
"Mhakiki wa Italia aliiita hii ""filamu ndogo, kubwa,"" na hiyo ni kweli.",pos
"Waigizaji wote hutoa utendaji mzuri sana, haswa Jennifer Rubin kama Jamie Harris, ambaye hubadilika kutoka gombo la habari mwanzoni kupitia matukio ya kushangaza ambayo yeye ni sehemu ya nyota nzuri",pos
"Mwanamuziki, mwigizaji na mpishi hodari",pos
"Unajifunza mengi juu ya hisia za ndani za watu kwenye sinema hii, na mengi juu ya biashara ya sinema yenyewe",pos
huwezi sahau filamu hii,pos
Hautasahau sinema hii!,pos
Pia muziki na Mark Snow ndio alama bora kabisa ambayo nimewahi kusikia,pos
"Niliona nikiwa mtoto kwenye TV mnamo 1973, wakati ilikuwa ""Mgeni"" na niliipenda.",pos
10-Oct,pos
Ninapenda sinema za Scream na sinema zote za kutisha na hii inaongoza huko,pos
"Nilipenda, ilikuwa ya kutisha sana",pos
Sinema hii ni ya kushangaza sana!,pos
Hii ni filamu ya ajabu,pos
"Filamu hii inadhihirisha dosari za msingi za mchakato wa kisheria, kwamba sio juu ya kugundua hatia au hatia, lakini, ni juu ya nani anayewasilisha bora mahakamani.",pos
"Filamu hiyo imeandaliwa vizuri, imepigwa chini na ni moja ya kumbukumbu bora ya mahakama",pos
Hii sinema ya Runinga inayozingatia ukweli hupata kuongezeka kutoka kwa utendaji mzuri wa Cole,pos
Yeye hubeba sinema vizuri,pos
Constantine anapea kila kitu nguvu inayofaa na anaonekana kuwa na uelewa mzuri wa misukumo ya kisaikolojia,pos
"Ni nzuri na ya kusisimua kutazama, na ninatumahi kuwa itatolewa tena kwa video au DVD",pos
Kuhariri: Uhariri wa filamu hii ulikuwa wa kushangaza kwa maoni yangu,pos
Sinema: Filamu ilipigwa kwa njia ya kupendeza.,pos
Filamu hii hutoa furaha nyingi na mshangao.,pos
"Wakati Achille na Philippa wakiimba vizuri densi kutoka kwa ""Don Giovanni"" ambayo inaelezea hali yao kikamilifu katika sinema, unathamini tabaka ndogo za filamu hii bora.",pos
Hadithi hiyo inajitokeza katika karne ya 18 Jutland na utumiaji wa muziki wa kipindi uliochezwa kwenye vyombo vya kipindi ni mguso mmoja tu mzuri,pos
Unashiriki furaha kubwa ya General Loewenhielm katika kushiriki kwake kwa Cailles en Sarcophage hata ikiwa unatazama sinema tu - lakini unatamani sampuli ndogo tu ya kunukia.,pos
Lakini filamu hii inaacha maoni ya kudumu,pos
Hitimisho - Nilipenda,pos
Ni muda mrefu tangu niliburudishwa na sinema,pos
"Angalia maneno yangu, hii ni moja ya sinema hizo za ibada kama Evil Dead 2 au Phantasm ambayo watu watakuwa wakigundua na kuipendana miaka 20, 30, 40 inayokuja",pos
"Inashangaza kwamba filamu hii nzuri ilitengenezwa mnamo 1949,",pos
"Filamu inastahili kudos kali kwa kuchukua msimamo huu, kwa kuwa na uigizaji wa kipekee kutoka kwa wahusika wasiojulikana zaidi na maandishi yenye busara ambayo hayatusi watazamaji au kuchukua njia rahisi ya nje inapofikia ubaguzi wa rangi nyeupe. ",pos
inafanya kazi ya kushangaza!,pos
Juano Hernandez (muigizaji wa kipekee aliyecheza majukumu ya kuunga mkono katika filamu nyingi za enzi hizo) ni mtu mweusi mwenye kiburi ambaye anatuhumiwa kumuua mzungu huko Kusini.,pos
NAPENDA LUCY,pos
ione pamoja na watoto wako ikiwa una nafasi - itafungua mazungumzo ya kushangaza kuhusu jinsi uhusiano wa rangi umekuja katika miaka 50 iliyopita,pos
